B00, 0
B01, 0
B02, 1
B02, Trade, 69.952, 67, B02, S00, 1
B03, 0
B04, 0
B05, 4
B05, Trade, 29.810, 81, B05, S01, 1
B05, Trade, 61.333, 72, S02, B05, 1
B05, Trade, 75.952, 83, B05, S02, 1
B05, Trade, 76.286, 64, S01, B05, 1
B06, 0
B07, 6
B07, Trade, 0.952, 86, S03, B07, 1
B07, Trade, 57.190, 98, B07, S03, 1
B07, Trade, 60.429, 73, B07, S00, 1
B07, Trade, 75.000, 108, B07, S01, 1
B07, Trade, 82.095, 108, S03, B07, 1
B07, Trade, 84.190, 90, B07, S01, 1
B08, 8
B08, Trade, 20.571, 128, B08, S03, 1
B08, Trade, 29.952, 108, S03, B08, 1
B08, Trade, 42.619, 128, S00, B08, 1
B08, Trade, 47.381, 123, B08, S00, 1
B08, Trade, 60.905, 112, B08, S00, 1
B08, Trade, 77.905, 111, B08, S01, 1
B08, Trade, 83.952, 123, B08, S05, 1
B08, Trade, 87.238, 122, B08, S00, 1
B09, 6
B09, Trade, 5.048, 117, S04, B09, 1
B09, Trade, 17.095, 99, S00, B09, 1
B09, Trade, 39.190, 119, B09, S01, 1
B09, Trade, 66.476, 134, B09, S05, 1
B09, Trade, 70.048, 112, S05, B09, 1
B09, Trade, 81.381, 105, S01, B09, 1
B10, 12
B10, Trade, 3.667, 66, S00, B10, 1
B10, Trade, 16.714, 106, S01, B10, 1
B10, Trade, 24.143, 138, S04, B10, 1
B10, Trade, 32.476, 149, B10, S00, 1
B10, Trade, 34.238, 85, B10, S00, 1
B10, Trade, 38.429, 98, B10, S01, 1
B10, Trade, 51.524, 136, B10, S01, 1
B10, Trade, 55.571, 127, S03, B10, 1
B10, Trade, 61.714, 118, S02, B10, 1
B10, Trade, 89.095, 128, B10, S02, 1
B10, Trade, 89.571, 133, B10, S01, 1
B10, Trade, 91.762, 91, B10, S01, 1
S00, 10
S00, Trade, 3.667, 66, S00, B10, 1
S00, Trade, 17.095, 99, S00, B09, 1
S00, Trade, 32.476, 149, B10, S00, 1
S00, Trade, 34.238, 85, B10, S00, 1
S00, Trade, 42.619, 128, S00, B08, 1
S00, Trade, 47.381, 123, B08, S00, 1
S00, Trade, 60.429, 73, B07, S00, 1
S00, Trade, 60.905, 112, B08, S00, 1
S00, Trade, 69.952, 67, B02, S00, 1
S00, Trade, 87.238, 122, B08, S00, 1
S01, 12
S01, Trade, 16.714, 106, S01, B10, 1
S01, Trade, 29.810, 81, B05, S01, 1
S01, Trade, 38.429, 98, B10, S01, 1
S01, Trade, 39.190, 119, B09, S01, 1
S01, Trade, 51.524, 136, B10, S01, 1
S01, Trade, 75.000, 108, B07, S01, 1
S01, Trade, 76.286, 64, S01, B05, 1
S01, Trade, 77.905, 111, B08, S01, 1
S01, Trade, 81.381, 105, S01, B09, 1
S01, Trade, 84.190, 90, B07, S01, 1
S01, Trade, 89.571, 133, B10, S01, 1
S01, Trade, 91.762, 91, B10, S01, 1
S02, 4
S02, Trade, 61.333, 72, S02, B05, 1
S02, Trade, 61.714, 118, S02, B10, 1
S02, Trade, 75.952, 83, B05, S02, 1
S02, Trade, 89.095, 128, B10, S02, 1
S03, 6
S03, Trade, 0.952, 86, S03, B07, 1
S03, Trade, 20.571, 128, B08, S03, 1
S03, Trade, 29.952, 108, S03, B08, 1
S03, Trade, 55.571, 127, S03, B10, 1
S03, Trade, 57.190, 98, B07, S03, 1
S03, Trade, 82.095, 108, S03, B07, 1
S04, 2
S04, Trade, 5.048, 117, S04, B09, 1
S04, Trade, 24.143, 138, S04, B10, 1
S05, 3
S05, Trade, 66.476, 134, B09, S05, 1
S05, Trade, 70.048, 112, S05, B09, 1
S05, Trade, 83.952, 123, B08, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
