B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 55.286, 79, B03, S00, 1
B04, 1
B04, Trade, 30.905, 71, B04, S00, 1
B05, 0
B06, 2
B06, Trade, 1.857, 101, B06, S00, 1
B06, Trade, 77.286, 63, S00, B06, 1
B07, 5
B07, Trade, 19.762, 102, B07, S01, 1
B07, Trade, 28.190, 108, B07, S01, 1
B07, Trade, 32.476, 108, S01, B07, 1
B07, Trade, 43.810, 80, B07, S01, 1
B07, Trade, 79.095, 118, B07, S00, 1
B08, 8
B08, Trade, 1.476, 69, S00, B08, 1
B08, Trade, 7.952, 105, S03, B08, 1
B08, Trade, 46.429, 128, B08, S00, 1
B08, Trade, 49.000, 123, B08, S01, 1
B08, Trade, 50.714, 127, B08, S04, 1
B08, Trade, 52.000, 119, S03, B08, 1
B08, Trade, 69.381, 105, S00, B08, 1
B08, Trade, 74.000, 122, B08, S00, 1
B09, 12
B09, Trade, 2.857, 133, B09, S05, 1
B09, Trade, 15.667, 86, S02, B09, 1
B09, Trade, 17.143, 131, S05, B09, 1
B09, Trade, 29.286, 125, B09, S04, 1
B09, Trade, 44.238, 77, S00, B09, 1
B09, Trade, 60.619, 109, B09, S01, 1
B09, Trade, 63.143, 97, B09, S00, 1
B09, Trade, 79.952, 125, B09, S03, 1
B09, Trade, 82.857, 125, B09, S04, 1
B09, Trade, 84.762, 98, B09, S00, 1
B09, Trade, 86.857, 122, S00, B09, 1
B09, Trade, 90.476, 109, B09, S01, 1
B10, 14
B10, Trade, 10.857, 121, S03, B10, 1
B10, Trade, 13.667, 121, B10, S00, 1
B10, Trade, 21.095, 132, S07, B10, 1
B10, Trade, 26.381, 109, B10, S01, 1
B10, Trade, 27.952, 143, B10, S02, 1
B10, Trade, 55.714, 98, S03, B10, 1
B10, Trade, 59.238, 141, B10, S00, 1
B10, Trade, 60.333, 136, B10, S02, 1
B10, Trade, 64.714, 97, B10, S02, 1
B10, Trade, 67.571, 77, B10, S01, 1
B10, Trade, 80.667, 140, B10, S01, 1
B10, Trade, 87.143, 88, B10, S01, 1
B10, Trade, 92.000, 135, B10, S05, 1
B10, Trade, 98.190, 145, B10, S00, 1
S00, 16
S00, Trade, 1.476, 69, S00, B08, 1
S00, Trade, 1.857, 101, B06, S00, 1
S00, Trade, 13.667, 121, B10, S00, 1
S00, Trade, 30.905, 71, B04, S00, 1
S00, Trade, 44.238, 77, S00, B09, 1
S00, Trade, 46.429, 128, B08, S00, 1
S00, Trade, 55.286, 79, B03, S00, 1
S00, Trade, 59.238, 141, B10, S00, 1
S00, Trade, 63.143, 97, B09, S00, 1
S00, Trade, 69.381, 105, S00, B08, 1
S00, Trade, 74.000, 122, B08, S00, 1
S00, Trade, 77.286, 63, S00, B06, 1
S00, Trade, 79.095, 118, B07, S00, 1
S00, Trade, 84.762, 98, B09, S00, 1
S00, Trade, 86.857, 122, S00, B09, 1
S00, Trade, 98.190, 145, B10, S00, 1
S01, 11
S01, Trade, 19.762, 102, B07, S01, 1
S01, Trade, 26.381, 109, B10, S01, 1
S01, Trade, 28.190, 108, B07, S01, 1
S01, Trade, 32.476, 108, S01, B07, 1
S01, Trade, 43.810, 80, B07, S01, 1
S01, Trade, 49.000, 123, B08, S01, 1
S01, Trade, 60.619, 109, B09, S01, 1
S01, Trade, 67.571, 77, B10, S01, 1
S01, Trade, 80.667, 140, B10, S01, 1
S01, Trade, 87.143, 88, B10, S01, 1
S01, Trade, 90.476, 109, B09, S01, 1
S02, 4
S02, Trade, 15.667, 86, S02, B09, 1
S02, Trade, 27.952, 143, B10, S02, 1
S02, Trade, 60.333, 136, B10, S02, 1
S02, Trade, 64.714, 97, B10, S02, 1
S03, 5
S03, Trade, 7.952, 105, S03, B08, 1
S03, Trade, 10.857, 121, S03, B10, 1
S03, Trade, 52.000, 119, S03, B08, 1
S03, Trade, 55.714, 98, S03, B10, 1
S03, Trade, 79.952, 125, B09, S03, 1
S04, 3
S04, Trade, 29.286, 125, B09, S04, 1
S04, Trade, 50.714, 127, B08, S04, 1
S04, Trade, 82.857, 125, B09, S04, 1
S05, 3
S05, Trade, 2.857, 133, B09, S05, 1
S05, Trade, 17.143, 131, S05, B09, 1
S05, Trade, 92.000, 135, B10, S05, 1
S06, 0
S07, 1
S07, Trade, 21.095, 132, S07, B10, 1
S08, 0
S09, 0
