B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 8.143, 74, B04, S02, 1
B04, Trade, 58.143, 65, B04, S00, 1
B05, 1
B05, Trade, 34.333, 99, B05, S03, 1
B06, 2
B06, Trade, 28.476, 89, S00, B06, 1
B06, Trade, 39.476, 109, B06, S05, 1
B07, 7
B07, Trade, 3.048, 109, B07, S00, 1
B07, Trade, 9.667, 115, B07, S00, 1
B07, Trade, 41.143, 103, B07, S02, 1
B07, Trade, 51.095, 87, B07, S01, 1
B07, Trade, 60.429, 67, S01, B07, 1
B07, Trade, 82.286, 97, S02, B07, 1
B07, Trade, 83.190, 99, B07, S00, 1
B08, 4
B08, Trade, 68.762, 112, S04, B08, 1
B08, Trade, 79.381, 124, B08, S02, 1
B08, Trade, 87.714, 76, S02, B08, 1
B08, Trade, 91.095, 100, S03, B08, 1
B09, 12
B09, Trade, 15.286, 97, S03, B09, 1
B09, Trade, 26.714, 135, B09, S00, 1
B09, Trade, 46.714, 96, B09, S01, 1
B09, Trade, 49.286, 103, B09, S02, 1
B09, Trade, 50.381, 106, B09, S02, 1
B09, Trade, 56.952, 83, S03, B09, 1
B09, Trade, 69.952, 103, S01, B09, 1
B09, Trade, 71.857, 123, S02, B09, 1
B09, Trade, 76.143, 133, B09, S00, 1
B09, Trade, 85.286, 90, S02, B09, 1
B09, Trade, 95.905, 108, S05, B09, 1
B09, Trade, 98.333, 110, S03, B09, 1
B10, 15
B10, Trade, 6.714, 148, B10, S00, 1
B10, Trade, 7.524, 99, S01, B10, 1
B10, Trade, 12.952, 141, B10, S00, 1
B10, Trade, 14.476, 138, B10, S02, 1
B10, Trade, 22.095, 84, B10, S01, 1
B10, Trade, 30.524, 90, S03, B10, 1
B10, Trade, 40.476, 124, S03, B10, 1
B10, Trade, 64.667, 145, B10, S01, 1
B10, Trade, 72.190, 143, S05, B10, 1
B10, Trade, 76.238, 134, B10, S01, 1
B10, Trade, 78.429, 146, B10, S04, 1
B10, Trade, 80.905, 128, B10, S02, 1
B10, Trade, 81.762, 125, S04, B10, 1
B10, Trade, 88.095, 121, S06, B10, 1
B10, Trade, 97.190, 129, B10, S03, 1
S00, 9
S00, Trade, 3.048, 109, B07, S00, 1
S00, Trade, 6.714, 148, B10, S00, 1
S00, Trade, 9.667, 115, B07, S00, 1
S00, Trade, 12.952, 141, B10, S00, 1
S00, Trade, 26.714, 135, B09, S00, 1
S00, Trade, 28.476, 89, S00, B06, 1
S00, Trade, 58.143, 65, B04, S00, 1
S00, Trade, 76.143, 133, B09, S00, 1
S00, Trade, 83.190, 99, B07, S00, 1
S01, 8
S01, Trade, 7.524, 99, S01, B10, 1
S01, Trade, 22.095, 84, B10, S01, 1
S01, Trade, 46.714, 96, B09, S01, 1
S01, Trade, 51.095, 87, B07, S01, 1
S01, Trade, 60.429, 67, S01, B07, 1
S01, Trade, 64.667, 145, B10, S01, 1
S01, Trade, 69.952, 103, S01, B09, 1
S01, Trade, 76.238, 134, B10, S01, 1
S02, 11
S02, Trade, 8.143, 74, B04, S02, 1
S02, Trade, 14.476, 138, B10, S02, 1
S02, Trade, 41.143, 103, B07, S02, 1
S02, Trade, 49.286, 103, B09, S02, 1
S02, Trade, 50.381, 106, B09, S02, 1
S02, Trade, 71.857, 123, S02, B09, 1
S02, Trade, 79.381, 124, B08, S02, 1
S02, Trade, 80.905, 128, B10, S02, 1
S02, Trade, 82.286, 97, S02, B07, 1
S02, Trade, 85.286, 90, S02, B09, 1
S02, Trade, 87.714, 76, S02, B08, 1
S03, 8
S03, Trade, 15.286, 97, S03, B09, 1
S03, Trade, 30.524, 90, S03, B10, 1
S03, Trade, 34.333, 99, B05, S03, 1
S03, Trade, 40.476, 124, S03, B10, 1
S03, Trade, 56.952, 83, S03, B09, 1
S03, Trade, 91.095, 100, S03, B08, 1
S03, Trade, 97.190, 129, B10, S03, 1
S03, Trade, 98.333, 110, S03, B09, 1
S04, 3
S04, Trade, 68.762, 112, S04, B08, 1
S04, Trade, 78.429, 146, B10, S04, 1
S04, Trade, 81.762, 125, S04, B10, 1
S05, 3
S05, Trade, 39.476, 109, B06, S05, 1
S05, Trade, 72.190, 143, S05, B10, 1
S05, Trade, 95.905, 108, S05, B09, 1
S06, 1
S06, Trade, 88.095, 121, S06, B10, 1
S07, 0
S08, 0
S09, 0
