B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 4
B05, Trade, 10.905, 74, B05, S00, 1
B05, Trade, 37.095, 86, B05, S02, 1
B05, Trade, 83.286, 97, B05, S00, 1
B05, Trade, 91.476, 97, B05, S01, 1
B06, 5
B06, Trade, 4.667, 108, B06, S04, 1
B06, Trade, 55.476, 70, S01, B06, 1
B06, Trade, 58.143, 96, B06, S01, 1
B06, Trade, 62.381, 99, B06, S02, 1
B06, Trade, 65.571, 103, B06, S02, 1
B07, 5
B07, Trade, 49.810, 84, S03, B07, 1
B07, Trade, 54.048, 96, B07, S02, 1
B07, Trade, 58.333, 94, S04, B07, 1
B07, Trade, 60.762, 117, B07, S04, 1
B07, Trade, 61.857, 92, B07, S01, 1
B08, 1
B08, Trade, 81.381, 124, B08, S02, 1
B09, 6
B09, Trade, 10.714, 113, B09, S01, 1
B09, Trade, 13.952, 126, B09, S00, 1
B09, Trade, 29.714, 96, S00, B09, 1
B09, Trade, 44.571, 123, B09, S00, 1
B09, Trade, 76.048, 95, B09, S00, 1
B09, Trade, 85.524, 111, B09, S01, 1
B10, 14
B10, Trade, 3.048, 103, S02, B10, 1
B10, Trade, 15.190, 116, B10, S05, 1
B10, Trade, 18.143, 118, B10, S01, 1
B10, Trade, 20.571, 140, S05, B10, 1
B10, Trade, 38.667, 125, S02, B10, 1
B10, Trade, 44.143, 110, B10, S02, 1
B10, Trade, 48.238, 116, B10, S00, 1
B10, Trade, 69.619, 82, S00, B10, 1
B10, Trade, 72.429, 139, B10, S01, 1
B10, Trade, 82.048, 146, B10, S01, 1
B10, Trade, 84.571, 113, S05, B10, 1
B10, Trade, 86.238, 111, B10, S00, 1
B10, Trade, 94.429, 86, S00, B10, 1
B10, Trade, 97.524, 127, B10, S06, 1
S00, 10
S00, Trade, 10.905, 74, B05, S00, 1
S00, Trade, 13.952, 126, B09, S00, 1
S00, Trade, 29.714, 96, S00, B09, 1
S00, Trade, 44.571, 123, B09, S00, 1
S00, Trade, 48.238, 116, B10, S00, 1
S00, Trade, 69.619, 82, S00, B10, 1
S00, Trade, 76.048, 95, B09, S00, 1
S00, Trade, 83.286, 97, B05, S00, 1
S00, Trade, 86.238, 111, B10, S00, 1
S00, Trade, 94.429, 86, S00, B10, 1
S01, 9
S01, Trade, 10.714, 113, B09, S01, 1
S01, Trade, 18.143, 118, B10, S01, 1
S01, Trade, 55.476, 70, S01, B06, 1
S01, Trade, 58.143, 96, B06, S01, 1
S01, Trade, 61.857, 92, B07, S01, 1
S01, Trade, 72.429, 139, B10, S01, 1
S01, Trade, 82.048, 146, B10, S01, 1
S01, Trade, 85.524, 111, B09, S01, 1
S01, Trade, 91.476, 97, B05, S01, 1
S02, 8
S02, Trade, 3.048, 103, S02, B10, 1
S02, Trade, 37.095, 86, B05, S02, 1
S02, Trade, 38.667, 125, S02, B10, 1
S02, Trade, 44.143, 110, B10, S02, 1
S02, Trade, 54.048, 96, B07, S02, 1
S02, Trade, 62.381, 99, B06, S02, 1
S02, Trade, 65.571, 103, B06, S02, 1
S02, Trade, 81.381, 124, B08, S02, 1
S03, 1
S03, Trade, 49.810, 84, S03, B07, 1
S04, 3
S04, Trade, 4.667, 108, B06, S04, 1
S04, Trade, 58.333, 94, S04, B07, 1
S04, Trade, 60.762, 117, B07, S04, 1
S05, 3
S05, Trade, 15.190, 116, B10, S05, 1
S05, Trade, 20.571, 140, S05, B10, 1
S05, Trade, 84.571, 113, S05, B10, 1
S06, 1
S06, Trade, 97.524, 127, B10, S06, 1
S07, 0
S08, 0
S09, 0
