B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 17.905, 80, S01, B05, 1
B05, Trade, 21.524, 100, B05, S01, 1
B06, 3
B06, Trade, 43.667, 68, S01, B06, 1
B06, Trade, 47.143, 85, B06, S00, 1
B06, Trade, 52.857, 108, B06, S03, 1
B07, 0
B08, 9
B08, Trade, 22.905, 113, B08, S02, 1
B08, Trade, 23.857, 116, B08, S03, 1
B08, Trade, 25.714, 109, B08, S00, 1
B08, Trade, 38.095, 105, S03, B08, 1
B08, Trade, 47.952, 120, S04, B08, 1
B08, Trade, 53.714, 99, B08, S00, 1
B08, Trade, 68.476, 91, B08, S01, 1
B08, Trade, 73.381, 118, S04, B08, 1
B08, Trade, 86.048, 120, S04, B08, 1
B09, 13
B09, Trade, 2.286, 138, B09, S03, 1
B09, Trade, 8.190, 139, B09, S01, 1
B09, Trade, 24.381, 139, B09, S05, 1
B09, Trade, 25.190, 112, B09, S01, 1
B09, Trade, 29.810, 111, S03, B09, 1
B09, Trade, 32.000, 140, B09, S00, 1
B09, Trade, 36.381, 126, S03, B09, 1
B09, Trade, 52.333, 74, B09, S00, 1
B09, Trade, 56.619, 77, S02, B09, 1
B09, Trade, 75.286, 114, B09, S01, 1
B09, Trade, 77.952, 139, B09, S00, 1
B09, Trade, 92.905, 81, S01, B09, 1
B09, Trade, 99.810, 137, B09, S00, 1
B10, 11
B10, Trade, 3.381, 134, B10, S01, 1
B10, Trade, 6.571, 142, S00, B10, 1
B10, Trade, 10.238, 136, B10, S03, 1
B10, Trade, 17.857, 78, S00, B10, 1
B10, Trade, 19.667, 89, S01, B10, 1
B10, Trade, 20.714, 116, S06, B10, 1
B10, Trade, 60.857, 139, B10, S01, 1
B10, Trade, 63.381, 132, B10, S04, 1
B10, Trade, 78.905, 119, B10, S03, 1
B10, Trade, 83.000, 148, B10, S04, 1
B10, Trade, 86.857, 138, S00, B10, 1
S00, 10
S00, Trade, 6.571, 142, S00, B10, 1
S00, Trade, 17.857, 78, S00, B10, 1
S00, Trade, 25.714, 109, B08, S00, 1
S00, Trade, 32.000, 140, B09, S00, 1
S00, Trade, 47.143, 85, B06, S00, 1
S00, Trade, 52.333, 74, B09, S00, 1
S00, Trade, 53.714, 99, B08, S00, 1
S00, Trade, 77.952, 139, B09, S00, 1
S00, Trade, 86.857, 138, S00, B10, 1
S00, Trade, 99.810, 137, B09, S00, 1
S01, 11
S01, Trade, 3.381, 134, B10, S01, 1
S01, Trade, 8.190, 139, B09, S01, 1
S01, Trade, 17.905, 80, S01, B05, 1
S01, Trade, 19.667, 89, S01, B10, 1
S01, Trade, 21.524, 100, B05, S01, 1
S01, Trade, 25.190, 112, B09, S01, 1
S01, Trade, 43.667, 68, S01, B06, 1
S01, Trade, 60.857, 139, B10, S01, 1
S01, Trade, 68.476, 91, B08, S01, 1
S01, Trade, 75.286, 114, B09, S01, 1
S01, Trade, 92.905, 81, S01, B09, 1
S02, 2
S02, Trade, 22.905, 113, B08, S02, 1
S02, Trade, 56.619, 77, S02, B09, 1
S03, 8
S03, Trade, 2.286, 138, B09, S03, 1
S03, Trade, 10.238, 136, B10, S03, 1
S03, Trade, 23.857, 116, B08, S03, 1
S03, Trade, 29.810, 111, S03, B09, 1
S03, Trade, 36.381, 126, S03, B09, 1
S03, Trade, 38.095, 105, S03, B08, 1
S03, Trade, 52.857, 108, B06, S03, 1
S03, Trade, 78.905, 119, B10, S03, 1
S04, 5
S04, Trade, 47.952, 120, S04, B08, 1
S04, Trade, 63.381, 132, B10, S04, 1
S04, Trade, 73.381, 118, S04, B08, 1
S04, Trade, 83.000, 148, B10, S04, 1
S04, Trade, 86.048, 120, S04, B08, 1
S05, 1
S05, Trade, 24.381, 139, B09, S05, 1
S06, 1
S06, Trade, 20.714, 116, S06, B10, 1
S07, 0
S08, 0
S09, 0
