B00, 0
B01, 1
B01, Trade, 95.810, 54, B01, S00, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 4
B06, Trade, 20.857, 93, B06, S03, 1
B06, Trade, 29.238, 108, S05, B06, 1
B06, Trade, 40.571, 104, B06, S00, 1
B06, Trade, 43.810, 91, B06, S01, 1
B07, 6
B07, Trade, 11.381, 80, S01, B07, 1
B07, Trade, 31.286, 114, B07, S04, 1
B07, Trade, 46.143, 80, B07, S02, 1
B07, Trade, 61.429, 104, S03, B07, 1
B07, Trade, 89.048, 119, B07, S01, 1
B07, Trade, 97.048, 102, S04, B07, 1
B08, 9
B08, Trade, 15.476, 129, B08, S02, 1
B08, Trade, 17.810, 128, B08, S04, 1
B08, Trade, 44.095, 114, B08, S03, 1
B08, Trade, 61.952, 122, B08, S01, 1
B08, Trade, 65.238, 90, B08, S00, 1
B08, Trade, 71.381, 108, S01, B08, 1
B08, Trade, 74.000, 90, S01, B08, 1
B08, Trade, 88.238, 111, B08, S01, 1
B08, Trade, 98.381, 123, B08, S01, 1
B09, 11
B09, Trade, 14.095, 133, S04, B09, 1
B09, Trade, 17.571, 128, B09, S01, 1
B09, Trade, 23.667, 101, B09, S00, 1
B09, Trade, 37.333, 101, B09, S02, 1
B09, Trade, 47.429, 139, B09, S04, 1
B09, Trade, 50.190, 94, S00, B09, 1
B09, Trade, 54.952, 92, B09, S01, 1
B09, Trade, 90.190, 131, B09, S03, 1
B09, Trade, 91.524, 117, B09, S04, 1
B09, Trade, 93.429, 83, S02, B09, 1
B09, Trade, 98.762, 105, S05, B09, 1
B10, 13
B10, Trade, 2.952, 103, B10, S00, 1
B10, Trade, 7.905, 138, B10, S02, 1
B10, Trade, 12.762, 78, B10, S00, 1
B10, Trade, 13.571, 148, B10, S05, 1
B10, Trade, 18.952, 143, B10, S00, 1
B10, Trade, 24.571, 126, S02, B10, 1
B10, Trade, 27.286, 82, B10, S01, 1
B10, Trade, 36.571, 121, S06, B10, 1
B10, Trade, 42.238, 106, B10, S01, 1
B10, Trade, 58.667, 146, B10, S01, 1
B10, Trade, 67.667, 142, B10, S00, 1
B10, Trade, 69.476, 79, S01, B10, 1
B10, Trade, 89.571, 129, B10, S02, 1
S00, 9
S00, Trade, 2.952, 103, B10, S00, 1
S00, Trade, 12.762, 78, B10, S00, 1
S00, Trade, 18.952, 143, B10, S00, 1
S00, Trade, 23.667, 101, B09, S00, 1
S00, Trade, 40.571, 104, B06, S00, 1
S00, Trade, 50.190, 94, S00, B09, 1
S00, Trade, 65.238, 90, B08, S00, 1
S00, Trade, 67.667, 142, B10, S00, 1
S00, Trade, 95.810, 54, B01, S00, 1
S01, 14
S01, Trade, 11.381, 80, S01, B07, 1
S01, Trade, 17.571, 128, B09, S01, 1
S01, Trade, 27.286, 82, B10, S01, 1
S01, Trade, 42.238, 106, B10, S01, 1
S01, Trade, 43.810, 91, B06, S01, 1
S01, Trade, 54.952, 92, B09, S01, 1
S01, Trade, 58.667, 146, B10, S01, 1
S01, Trade, 61.952, 122, B08, S01, 1
S01, Trade, 69.476, 79, S01, B10, 1
S01, Trade, 71.381, 108, S01, B08, 1
S01, Trade, 74.000, 90, S01, B08, 1
S01, Trade, 88.238, 111, B08, S01, 1
S01, Trade, 89.048, 119, B07, S01, 1
S01, Trade, 98.381, 123, B08, S01, 1
S02, 7
S02, Trade, 7.905, 138, B10, S02, 1
S02, Trade, 15.476, 129, B08, S02, 1
S02, Trade, 24.571, 126, S02, B10, 1
S02, Trade, 37.333, 101, B09, S02, 1
S02, Trade, 46.143, 80, B07, S02, 1
S02, Trade, 89.571, 129, B10, S02, 1
S02, Trade, 93.429, 83, S02, B09, 1
S03, 4
S03, Trade, 20.857, 93, B06, S03, 1
S03, Trade, 44.095, 114, B08, S03, 1
S03, Trade, 61.429, 104, S03, B07, 1
S03, Trade, 90.190, 131, B09, S03, 1
S04, 6
S04, Trade, 14.095, 133, S04, B09, 1
S04, Trade, 17.810, 128, B08, S04, 1
S04, Trade, 31.286, 114, B07, S04, 1
S04, Trade, 47.429, 139, B09, S04, 1
S04, Trade, 91.524, 117, B09, S04, 1
S04, Trade, 97.048, 102, S04, B07, 1
S05, 3
S05, Trade, 13.571, 148, B10, S05, 1
S05, Trade, 29.238, 108, S05, B06, 1
S05, Trade, 98.762, 105, S05, B09, 1
S06, 1
S06, Trade, 36.571, 121, S06, B10, 1
S07, 0
S08, 0
S09, 0
