B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 42.905, 83, S02, B04, 1
B04, Trade, 77.381, 71, S00, B04, 1
B05, 4
B05, Trade, 5.048, 88, S03, B05, 1
B05, Trade, 33.333, 84, B05, S00, 1
B05, Trade, 78.905, 91, S01, B05, 1
B05, Trade, 83.381, 78, B05, S01, 1
B06, 5
B06, Trade, 7.000, 78, B06, S01, 1
B06, Trade, 25.286, 90, S03, B06, 1
B06, Trade, 32.143, 101, B06, S00, 1
B06, Trade, 58.095, 102, B06, S00, 1
B06, Trade, 99.333, 110, B06, S00, 1
B07, 6
B07, Trade, 7.714, 110, B07, S03, 1
B07, Trade, 43.000, 108, S01, B07, 1
B07, Trade, 68.333, 101, B07, S01, 1
B07, Trade, 75.381, 76, B07, S00, 1
B07, Trade, 90.143, 98, B07, S02, 1
B07, Trade, 93.714, 96, B07, S00, 1
B08, 8
B08, Trade, 3.667, 95, S02, B08, 1
B08, Trade, 39.333, 121, B08, S03, 1
B08, Trade, 41.095, 126, B08, S04, 1
B08, Trade, 51.810, 95, B08, S00, 1
B08, Trade, 60.381, 105, B08, S04, 1
B08, Trade, 61.381, 112, B08, S02, 1
B08, Trade, 79.476, 102, B08, S03, 1
B08, Trade, 86.762, 112, B08, S03, 1
B09, 0
B10, 13
B10, Trade, 3.810, 85, B10, S01, 1
B10, Trade, 10.857, 79, S00, B10, 1
B10, Trade, 15.286, 98, S01, B10, 1
B10, Trade, 19.381, 138, S06, B10, 1
B10, Trade, 39.095, 117, B10, S00, 1
B10, Trade, 41.524, 86, S03, B10, 1
B10, Trade, 44.190, 115, B10, S02, 1
B10, Trade, 48.810, 115, S00, B10, 1
B10, Trade, 53.905, 129, B10, S00, 1
B10, Trade, 59.571, 101, B10, S00, 1
B10, Trade, 63.333, 133, B10, S05, 1
B10, Trade, 82.571, 108, S05, B10, 1
B10, Trade, 89.238, 103, B10, S00, 1
S00, 14
S00, Trade, 10.857, 79, S00, B10, 1
S00, Trade, 32.143, 101, B06, S00, 1
S00, Trade, 33.333, 84, B05, S00, 1
S00, Trade, 39.095, 117, B10, S00, 1
S00, Trade, 48.810, 115, S00, B10, 1
S00, Trade, 51.810, 95, B08, S00, 1
S00, Trade, 53.905, 129, B10, S00, 1
S00, Trade, 58.095, 102, B06, S00, 1
S00, Trade, 59.571, 101, B10, S00, 1
S00, Trade, 75.381, 76, B07, S00, 1
S00, Trade, 77.381, 71, S00, B04, 1
S00, Trade, 89.238, 103, B10, S00, 1
S00, Trade, 93.714, 96, B07, S00, 1
S00, Trade, 99.333, 110, B06, S00, 1
S01, 7
S01, Trade, 3.810, 85, B10, S01, 1
S01, Trade, 7.000, 78, B06, S01, 1
S01, Trade, 15.286, 98, S01, B10, 1
S01, Trade, 43.000, 108, S01, B07, 1
S01, Trade, 68.333, 101, B07, S01, 1
S01, Trade, 78.905, 91, S01, B05, 1
S01, Trade, 83.381, 78, B05, S01, 1
S02, 5
S02, Trade, 3.667, 95, S02, B08, 1
S02, Trade, 42.905, 83, S02, B04, 1
S02, Trade, 44.190, 115, B10, S02, 1
S02, Trade, 61.381, 112, B08, S02, 1
S02, Trade, 90.143, 98, B07, S02, 1
S03, 7
S03, Trade, 5.048, 88, S03, B05, 1
S03, Trade, 7.714, 110, B07, S03, 1
S03, Trade, 25.286, 90, S03, B06, 1
S03, Trade, 39.333, 121, B08, S03, 1
S03, Trade, 41.524, 86, S03, B10, 1
S03, Trade, 79.476, 102, B08, S03, 1
S03, Trade, 86.762, 112, B08, S03, 1
S04, 2
S04, Trade, 41.095, 126, B08, S04, 1
S04, Trade, 60.381, 105, B08, S04, 1
S05, 2
S05, Trade, 63.333, 133, B10, S05, 1
S05, Trade, 82.571, 108, S05, B10, 1
S06, 1
S06, Trade, 19.381, 138, S06, B10, 1
S07, 0
S08, 0
S09, 0
