B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 9
B05, Trade, 5.095, 125, B05, B09, 1
B05, Trade, 19.810, 129, B05, B10, 1
B05, Trade, 25.476, 131, B05, B10, 1
B05, Trade, 44.857, 128, B05, B10, 1
B05, Trade, 51.952, 124, B05, B09, 1
B05, Trade, 66.286, 134, B05, B10, 1
B05, Trade, 75.810, 129, B05, B09, 1
B05, Trade, 91.905, 127, B05, B09, 1
B05, Trade, 96.762, 127, B05, B09, 1
B06, 6
B06, Trade, 8.476, 98, S04, B06, 1
B06, Trade, 42.000, 107, B06, S03, 1
B06, Trade, 58.000, 110, B06, S02, 1
B06, Trade, 61.429, 91, S00, B06, 1
B06, Trade, 68.857, 104, B06, S00, 1
B06, Trade, 79.190, 81, S01, B06, 1
B07, 9
B07, Trade, 4.667, 63, B07, S00, 1
B07, Trade, 15.286, 87, B07, S01, 1
B07, Trade, 20.857, 77, S01, B07, 1
B07, Trade, 23.286, 107, S05, B07, 1
B07, Trade, 34.143, 74, S02, B07, 1
B07, Trade, 39.048, 117, B07, S03, 1
B07, Trade, 50.238, 79, B07, S01, 1
B07, Trade, 79.524, 84, S02, B07, 1
B07, Trade, 83.190, 58, S00, B07, 1
B08, 9
B08, Trade, 3.333, 110, B08, S02, 1
B08, Trade, 6.429, 113, S03, B08, 1
B08, Trade, 8.905, 84, B08, S01, 1
B08, Trade, 12.190, 129, B08, S01, 1
B08, Trade, 27.714, 84, B08, S00, 1
B08, Trade, 42.762, 91, B08, S00, 1
B08, Trade, 47.476, 104, B08, S03, 1
B08, Trade, 54.905, 100, S04, B08, 1
B08, Trade, 94.810, 101, B08, S00, 1
B09, 10
B09, Trade, 5.095, 125, B05, B09, 1
B09, Trade, 16.286, 127, B09, S00, 1
B09, Trade, 33.333, 96, S03, B09, 1
B09, Trade, 51.952, 124, B05, B09, 1
B09, Trade, 58.857, 127, S04, B09, 1
B09, Trade, 75.810, 129, B05, B09, 1
B09, Trade, 81.619, 103, S00, B09, 1
B09, Trade, 91.905, 127, B05, B09, 1
B09, Trade, 95.333, 115, S03, B09, 1
B09, Trade, 96.762, 127, B05, B09, 1
B10, 18
B10, Trade, 2.952, 125, S00, B10, 1
B10, Trade, 7.857, 135, B10, S02, 1
B10, Trade, 19.810, 129, B05, B10, 1
B10, Trade, 24.667, 121, B10, S04, 1
B10, Trade, 25.476, 131, B05, B10, 1
B10, Trade, 27.238, 133, B10, S02, 1
B10, Trade, 40.143, 125, B10, S00, 1
B10, Trade, 43.190, 126, S04, B10, 1
B10, Trade, 44.857, 128, B05, B10, 1
B10, Trade, 57.952, 134, S01, B10, 1
B10, Trade, 62.619, 119, B10, S00, 1
B10, Trade, 66.286, 134, B05, B10, 1
B10, Trade, 67.667, 87, B10, S03, 1
B10, Trade, 74.476, 110, B10, S03, 1
B10, Trade, 77.905, 143, B10, S01, 1
B10, Trade, 81.905, 129, B10, S00, 1
B10, Trade, 84.619, 66, S01, B10, 1
B10, Trade, 95.952, 100, S02, B10, 1
S00, 13
S00, Trade, 2.952, 125, S00, B10, 1
S00, Trade, 4.667, 63, B07, S00, 1
S00, Trade, 16.286, 127, B09, S00, 1
S00, Trade, 27.714, 84, B08, S00, 1
S00, Trade, 40.143, 125, B10, S00, 1
S00, Trade, 42.762, 91, B08, S00, 1
S00, Trade, 61.429, 91, S00, B06, 1
S00, Trade, 62.619, 119, B10, S00, 1
S00, Trade, 68.857, 104, B06, S00, 1
S00, Trade, 81.619, 103, S00, B09, 1
S00, Trade, 81.905, 129, B10, S00, 1
S00, Trade, 83.190, 58, S00, B07, 1
S00, Trade, 94.810, 101, B08, S00, 1
S01, 9
S01, Trade, 8.905, 84, B08, S01, 1
S01, Trade, 12.190, 129, B08, S01, 1
S01, Trade, 15.286, 87, B07, S01, 1
S01, Trade, 20.857, 77, S01, B07, 1
S01, Trade, 50.238, 79, B07, S01, 1
S01, Trade, 57.952, 134, S01, B10, 1
S01, Trade, 77.905, 143, B10, S01, 1
S01, Trade, 79.190, 81, S01, B06, 1
S01, Trade, 84.619, 66, S01, B10, 1
S02, 7
S02, Trade, 3.333, 110, B08, S02, 1
S02, Trade, 7.857, 135, B10, S02, 1
S02, Trade, 27.238, 133, B10, S02, 1
S02, Trade, 34.143, 74, S02, B07, 1
S02, Trade, 58.000, 110, B06, S02, 1
S02, Trade, 79.524, 84, S02, B07, 1
S02, Trade, 95.952, 100, S02, B10, 1
S03, 8
S03, Trade, 6.429, 113, S03, B08, 1
S03, Trade, 33.333, 96, S03, B09, 1
S03, Trade, 39.048, 117, B07, S03, 1
S03, Trade, 42.000, 107, B06, S03, 1
S03, Trade, 47.476, 104, B08, S03, 1
S03, Trade, 67.667, 87, B10, S03, 1
S03, Trade, 74.476, 110, B10, S03, 1
S03, Trade, 95.333, 115, S03, B09, 1
S04, 5
S04, Trade, 8.476, 98, S04, B06, 1
S04, Trade, 24.667, 121, B10, S04, 1
S04, Trade, 43.190, 126, S04, B10, 1
S04, Trade, 54.905, 100, S04, B08, 1
S04, Trade, 58.857, 127, S04, B09, 1
S05, 1
S05, Trade, 23.286, 107, S05, B07, 1
S06, 0
S07, 0
S08, 0
S09, 0
