B00, 0
B01, 0
B02, 7
B02, Trade, 20.667, 116, B02, B08, 1
B02, Trade, 41.429, 118, B02, B09, 1
B02, Trade, 49.190, 124, B02, B08, 1
B02, Trade, 63.333, 133, B02, B10, 1
B02, Trade, 73.905, 139, B02, B10, 1
B02, Trade, 83.857, 127, B02, B10, 1
B02, Trade, 90.857, 131, B02, B10, 1
B03, 1
B03, Trade, 33.143, 68, B03, S01, 1
B04, 0
B05, 4
B05, Trade, 74.762, 97, B05, S00, 1
B05, Trade, 76.381, 90, B05, S00, 1
B05, Trade, 88.190, 92, B05, S00, 1
B05, Trade, 96.714, 95, B05, S00, 1
B06, 4
B06, Trade, 1.810, 109, B06, S03, 1
B06, Trade, 6.571, 99, B06, S00, 1
B06, Trade, 50.286, 108, B06, S03, 1
B06, Trade, 81.952, 100, B06, S01, 1
B07, 5
B07, Trade, 2.143, 110, S00, B07, 1
B07, Trade, 21.095, 84, B07, S01, 1
B07, Trade, 27.667, 87, B07, S00, 1
B07, Trade, 47.905, 83, S01, B07, 1
B07, Trade, 74.476, 106, B07, S01, 1
B08, 9
B08, Trade, 20.000, 96, B08, S00, 1
B08, Trade, 20.667, 116, B02, B08, 1
B08, Trade, 25.905, 108, S05, B08, 1
B08, Trade, 39.143, 107, B08, S02, 1
B08, Trade, 49.190, 124, B02, B08, 1
B08, Trade, 51.286, 108, B08, S01, 1
B08, Trade, 86.095, 121, B08, S01, 1
B08, Trade, 86.905, 119, B08, S00, 1
B08, Trade, 98.952, 111, S05, B08, 1
B09, 13
B09, Trade, 4.667, 121, B09, S03, 1
B09, Trade, 8.286, 89, S02, B09, 1
B09, Trade, 11.381, 134, B09, S02, 1
B09, Trade, 24.905, 107, B09, S00, 1
B09, Trade, 32.000, 110, S01, B09, 1
B09, Trade, 37.333, 116, S01, B09, 1
B09, Trade, 41.429, 118, B02, B09, 1
B09, Trade, 44.857, 121, B09, S03, 1
B09, Trade, 46.286, 100, S04, B09, 1
B09, Trade, 52.000, 102, B09, S03, 1
B09, Trade, 58.714, 119, B09, S01, 1
B09, Trade, 69.381, 106, B09, S00, 1
B09, Trade, 72.333, 125, B09, S03, 1
B10, 18
B10, Trade, 3.381, 139, B10, S02, 1
B10, Trade, 10.238, 128, S06, B10, 1
B10, Trade, 30.952, 132, B10, S03, 1
B10, Trade, 31.333, 96, B10, S00, 1
B10, Trade, 54.381, 107, B10, S01, 1
B10, Trade, 56.143, 125, B10, S05, 1
B10, Trade, 57.524, 117, B10, S00, 1
B10, Trade, 58.333, 107, S04, B10, 1
B10, Trade, 60.095, 88, S00, B10, 1
B10, Trade, 63.333, 133, B02, B10, 1
B10, Trade, 73.905, 139, B02, B10, 1
B10, Trade, 82.524, 91, S00, B10, 1
B10, Trade, 83.857, 127, B02, B10, 1
B10, Trade, 84.238, 136, S00, B10, 1
B10, Trade, 90.857, 131, B02, B10, 1
B10, Trade, 95.571, 111, S05, B10, 1
B10, Trade, 97.524, 94, B10, S01, 1
B10, Trade, 99.905, 123, B10, S01, 1
S00, 16
S00, Trade, 2.143, 110, S00, B07, 1
S00, Trade, 6.571, 99, B06, S00, 1
S00, Trade, 20.000, 96, B08, S00, 1
S00, Trade, 24.905, 107, B09, S00, 1
S00, Trade, 27.667, 87, B07, S00, 1
S00, Trade, 31.333, 96, B10, S00, 1
S00, Trade, 57.524, 117, B10, S00, 1
S00, Trade, 60.095, 88, S00, B10, 1
S00, Trade, 69.381, 106, B09, S00, 1
S00, Trade, 74.762, 97, B05, S00, 1
S00, Trade, 76.381, 90, B05, S00, 1
S00, Trade, 82.524, 91, S00, B10, 1
S00, Trade, 84.238, 136, S00, B10, 1
S00, Trade, 86.905, 119, B08, S00, 1
S00, Trade, 88.190, 92, B05, S00, 1
S00, Trade, 96.714, 95, B05, S00, 1
S01, 13
S01, Trade, 21.095, 84, B07, S01, 1
S01, Trade, 32.000, 110, S01, B09, 1
S01, Trade, 33.143, 68, B03, S01, 1
S01, Trade, 37.333, 116, S01, B09, 1
S01, Trade, 47.905, 83, S01, B07, 1
S01, Trade, 51.286, 108, B08, S01, 1
S01, Trade, 54.381, 107, B10, S01, 1
S01, Trade, 58.714, 119, B09, S01, 1
S01, Trade, 74.476, 106, B07, S01, 1
S01, Trade, 81.952, 100, B06, S01, 1
S01, Trade, 86.095, 121, B08, S01, 1
S01, Trade, 97.524, 94, B10, S01, 1
S01, Trade, 99.905, 123, B10, S01, 1
S02, 4
S02, Trade, 3.381, 139, B10, S02, 1
S02, Trade, 8.286, 89, S02, B09, 1
S02, Trade, 11.381, 134, B09, S02, 1
S02, Trade, 39.143, 107, B08, S02, 1
S03, 7
S03, Trade, 1.810, 109, B06, S03, 1
S03, Trade, 4.667, 121, B09, S03, 1
S03, Trade, 30.952, 132, B10, S03, 1
S03, Trade, 44.857, 121, B09, S03, 1
S03, Trade, 50.286, 108, B06, S03, 1
S03, Trade, 52.000, 102, B09, S03, 1
S03, Trade, 72.333, 125, B09, S03, 1
S04, 2
S04, Trade, 46.286, 100, S04, B09, 1
S04, Trade, 58.333, 107, S04, B10, 1
S05, 4
S05, Trade, 25.905, 108, S05, B08, 1
S05, Trade, 56.143, 125, B10, S05, 1
S05, Trade, 95.571, 111, S05, B10, 1
S05, Trade, 98.952, 111, S05, B08, 1
S06, 1
S06, Trade, 10.238, 128, S06, B10, 1
S07, 0
S08, 0
S09, 0
