B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 38.381, 64, S00, B03, 1
B04, 2
B04, Trade, 2.190, 83, B04, S01, 1
B04, Trade, 38.714, 70, S01, B04, 1
B05, 2
B05, Trade, 12.000, 99, B05, S01, 1
B05, Trade, 57.857, 87, S01, B05, 1
B06, 3
B06, Trade, 36.810, 96, B06, S03, 1
B06, Trade, 68.048, 110, B06, S00, 1
B06, Trade, 95.524, 110, B06, S02, 1
B07, 7
B07, Trade, 2.000, 108, B07, S02, 1
B07, Trade, 3.429, 97, B07, S01, 1
B07, Trade, 11.286, 97, B07, S00, 1
B07, Trade, 24.762, 120, B07, S04, 1
B07, Trade, 40.048, 80, B07, S01, 1
B07, Trade, 57.667, 96, B07, S00, 1
B07, Trade, 72.000, 120, B07, S02, 1
B08, 7
B08, Trade, 6.429, 112, S00, B08, 1
B08, Trade, 12.905, 126, B08, S04, 1
B08, Trade, 33.143, 88, S02, B08, 1
B08, Trade, 44.238, 95, S03, B08, 1
B08, Trade, 50.000, 126, B08, S02, 1
B08, Trade, 70.095, 121, B08, S01, 1
B08, Trade, 87.667, 123, B09, B08, 1
B09, 4
B09, Trade, 9.429, 133, B09, B10, 1
B09, Trade, 41.381, 122, B09, B10, 1
B09, Trade, 66.143, 115, B09, B10, 1
B09, Trade, 87.667, 123, B09, B08, 1
B10, 17
B10, Trade, 0.619, 145, B10, S01, 1
B10, Trade, 7.810, 125, B10, S03, 1
B10, Trade, 9.429, 133, B09, B10, 1
B10, Trade, 10.810, 139, S06, B10, 1
B10, Trade, 20.905, 77, S00, B10, 1
B10, Trade, 22.381, 111, S00, B10, 1
B10, Trade, 27.381, 105, B10, S01, 1
B10, Trade, 32.571, 102, B10, S01, 1
B10, Trade, 41.381, 122, B09, B10, 1
B10, Trade, 47.714, 119, S05, B10, 1
B10, Trade, 66.143, 115, B09, B10, 1
B10, Trade, 70.667, 105, S00, B10, 1
B10, Trade, 74.571, 115, B10, S02, 1
B10, Trade, 87.190, 112, B10, S04, 1
B10, Trade, 88.286, 126, B10, S01, 1
B10, Trade, 88.810, 97, S02, B10, 1
B10, Trade, 99.810, 100, S00, B10, 1
S00, 9
S00, Trade, 6.429, 112, S00, B08, 1
S00, Trade, 11.286, 97, B07, S00, 1
S00, Trade, 20.905, 77, S00, B10, 1
S00, Trade, 22.381, 111, S00, B10, 1
S00, Trade, 38.381, 64, S00, B03, 1
S00, Trade, 57.667, 96, B07, S00, 1
S00, Trade, 68.048, 110, B06, S00, 1
S00, Trade, 70.667, 105, S00, B10, 1
S00, Trade, 99.810, 100, S00, B10, 1
S01, 11
S01, Trade, 0.619, 145, B10, S01, 1
S01, Trade, 2.190, 83, B04, S01, 1
S01, Trade, 3.429, 97, B07, S01, 1
S01, Trade, 12.000, 99, B05, S01, 1
S01, Trade, 27.381, 105, B10, S01, 1
S01, Trade, 32.571, 102, B10, S01, 1
S01, Trade, 38.714, 70, S01, B04, 1
S01, Trade, 40.048, 80, B07, S01, 1
S01, Trade, 57.857, 87, S01, B05, 1
S01, Trade, 70.095, 121, B08, S01, 1
S01, Trade, 88.286, 126, B10, S01, 1
S02, 7
S02, Trade, 2.000, 108, B07, S02, 1
S02, Trade, 33.143, 88, S02, B08, 1
S02, Trade, 50.000, 126, B08, S02, 1
S02, Trade, 72.000, 120, B07, S02, 1
S02, Trade, 74.571, 115, B10, S02, 1
S02, Trade, 88.810, 97, S02, B10, 1
S02, Trade, 95.524, 110, B06, S02, 1
S03, 3
S03, Trade, 7.810, 125, B10, S03, 1
S03, Trade, 36.810, 96, B06, S03, 1
S03, Trade, 44.238, 95, S03, B08, 1
S04, 3
S04, Trade, 12.905, 126, B08, S04, 1
S04, Trade, 24.762, 120, B07, S04, 1
S04, Trade, 87.190, 112, B10, S04, 1
S05, 1
S05, Trade, 47.714, 119, S05, B10, 1
S06, 1
S06, Trade, 10.810, 139, S06, B10, 1
S07, 0
S08, 0
S09, 0
