B00, 8
B00, Trade, 15.667, 102, B00, B08, 1
B00, Trade, 19.667, 118, B00, B10, 1
B00, Trade, 20.810, 116, B00, B10, 1
B00, Trade, 23.857, 129, B00, B10, 1
B00, Trade, 30.190, 141, B00, B10, 1
B00, Trade, 47.857, 132, B00, B10, 1
B00, Trade, 82.333, 126, B00, B10, 1
B00, Trade, 96.905, 130, B00, B10, 1
B01, 1
B01, Trade, 98.238, 55, B01, S00, 1
B02, 0
B03, 0
B04, 1
B04, Trade, 94.095, 89, B04, S01, 1
B05, 1
B05, Trade, 73.000, 84, B05, S01, 1
B06, 1
B06, Trade, 41.190, 96, B06, S01, 1
B07, 2
B07, Trade, 28.524, 85, B07, S00, 1
B07, Trade, 88.286, 108, B07, S02, 1
B08, 9
B08, Trade, 7.571, 128, B08, S01, 1
B08, Trade, 15.667, 102, B00, B08, 1
B08, Trade, 18.429, 105, S04, B08, 1
B08, Trade, 52.048, 70, S01, B08, 1
B08, Trade, 58.238, 72, B08, S00, 1
B08, Trade, 60.333, 119, S03, B08, 1
B08, Trade, 66.714, 72, S00, B08, 1
B08, Trade, 67.857, 101, B08, S00, 1
B08, Trade, 71.048, 90, S00, B08, 1
B09, 7
B09, Trade, 2.952, 101, B09, S04, 1
B09, Trade, 5.238, 89, B09, S01, 1
B09, Trade, 15.524, 102, S03, B09, 1
B09, Trade, 20.762, 116, S03, B09, 1
B09, Trade, 30.762, 125, B09, S00, 1
B09, Trade, 34.000, 78, B09, S01, 1
B09, Trade, 75.714, 124, B09, S06, 1
B10, 16
B10, Trade, 3.381, 124, S05, B10, 1
B10, Trade, 3.952, 143, B10, S03, 1
B10, Trade, 19.667, 118, B00, B10, 1
B10, Trade, 20.810, 116, B00, B10, 1
B10, Trade, 23.857, 129, B00, B10, 1
B10, Trade, 30.190, 141, B00, B10, 1
B10, Trade, 37.619, 121, B10, S00, 1
B10, Trade, 42.571, 115, B10, S00, 1
B10, Trade, 47.857, 132, B00, B10, 1
B10, Trade, 57.762, 109, S02, B10, 1
B10, Trade, 67.000, 141, B10, S00, 1
B10, Trade, 77.190, 119, S05, B10, 1
B10, Trade, 78.333, 112, B10, S00, 1
B10, Trade, 82.333, 126, B00, B10, 1
B10, Trade, 82.667, 125, S06, B10, 1
B10, Trade, 96.905, 130, B00, B10, 1
S00, 11
S00, Trade, 28.524, 85, B07, S00, 1
S00, Trade, 30.762, 125, B09, S00, 1
S00, Trade, 37.619, 121, B10, S00, 1
S00, Trade, 42.571, 115, B10, S00, 1
S00, Trade, 58.238, 72, B08, S00, 1
S00, Trade, 66.714, 72, S00, B08, 1
S00, Trade, 67.000, 141, B10, S00, 1
S00, Trade, 67.857, 101, B08, S00, 1
S00, Trade, 71.048, 90, S00, B08, 1
S00, Trade, 78.333, 112, B10, S00, 1
S00, Trade, 98.238, 55, B01, S00, 1
S01, 7
S01, Trade, 5.238, 89, B09, S01, 1
S01, Trade, 7.571, 128, B08, S01, 1
S01, Trade, 34.000, 78, B09, S01, 1
S01, Trade, 41.190, 96, B06, S01, 1
S01, Trade, 52.048, 70, S01, B08, 1
S01, Trade, 73.000, 84, B05, S01, 1
S01, Trade, 94.095, 89, B04, S01, 1
S02, 2
S02, Trade, 57.762, 109, S02, B10, 1
S02, Trade, 88.286, 108, B07, S02, 1
S03, 4
S03, Trade, 3.952, 143, B10, S03, 1
S03, Trade, 15.524, 102, S03, B09, 1
S03, Trade, 20.762, 116, S03, B09, 1
S03, Trade, 60.333, 119, S03, B08, 1
S04, 2
S04, Trade, 2.952, 101, B09, S04, 1
S04, Trade, 18.429, 105, S04, B08, 1
S05, 2
S05, Trade, 3.381, 124, S05, B10, 1
S05, Trade, 77.190, 119, S05, B10, 1
S06, 2
S06, Trade, 75.714, 124, B09, S06, 1
S06, Trade, 82.667, 125, S06, B10, 1
S07, 0
S08, 0
S09, 0
