B00, 0
B01, 0
B02, 1
B02, Trade, 60.286, 50, S00, B02, 1
B03, 0
B04, 1
B04, Trade, 5.952, 71, B04, S00, 1
B05, 3
B05, Trade, 49.524, 95, B05, S04, 1
B05, Trade, 65.095, 100, B05, S03, 1
B05, Trade, 70.238, 93, B05, S00, 1
B06, 1
B06, Trade, 96.571, 64, B06, S00, 1
B07, 4
B07, Trade, 8.667, 98, B08, B07, 1
B07, Trade, 12.762, 97, B08, B07, 1
B07, Trade, 14.476, 117, B07, S00, 1
B07, Trade, 49.238, 98, S04, B07, 1
B08, 9
B08, Trade, 5.286, 134, B08, B10, 1
B08, Trade, 8.667, 98, B08, B07, 1
B08, Trade, 12.762, 97, B08, B07, 1
B08, Trade, 23.000, 125, B08, B10, 1
B08, Trade, 42.762, 127, B08, B09, 1
B08, Trade, 58.381, 132, B08, B09, 1
B08, Trade, 73.048, 132, B08, B10, 1
B08, Trade, 81.762, 144, B08, B10, 1
B08, Trade, 92.476, 134, B08, B10, 1
B09, 11
B09, Trade, 1.476, 125, S00, B09, 1
B09, Trade, 6.048, 125, S06, B09, 1
B09, Trade, 18.762, 95, B09, S00, 1
B09, Trade, 36.857, 121, B09, S02, 1
B09, Trade, 41.762, 105, B09, S00, 1
B09, Trade, 42.762, 127, B08, B09, 1
B09, Trade, 51.571, 92, B09, S00, 1
B09, Trade, 58.381, 132, B08, B09, 1
B09, Trade, 66.810, 112, B09, S00, 1
B09, Trade, 82.571, 93, S03, B09, 1
B09, Trade, 93.571, 98, B09, S03, 1
B10, 15
B10, Trade, 4.000, 96, S00, B10, 1
B10, Trade, 5.286, 134, B08, B10, 1
B10, Trade, 9.619, 115, S01, B10, 1
B10, Trade, 23.000, 125, B08, B10, 1
B10, Trade, 27.095, 114, S02, B10, 1
B10, Trade, 44.333, 136, S00, B10, 1
B10, Trade, 45.238, 143, B10, S00, 1
B10, Trade, 57.714, 97, S03, B10, 1
B10, Trade, 61.286, 106, S01, B10, 1
B10, Trade, 73.048, 132, B08, B10, 1
B10, Trade, 81.762, 144, B08, B10, 1
B10, Trade, 87.286, 122, B10, S02, 1
B10, Trade, 88.714, 133, S05, B10, 1
B10, Trade, 92.476, 134, B08, B10, 1
B10, Trade, 98.095, 66, B10, S00, 1
S00, 14
S00, Trade, 1.476, 125, S00, B09, 1
S00, Trade, 4.000, 96, S00, B10, 1
S00, Trade, 5.952, 71, B04, S00, 1
S00, Trade, 14.476, 117, B07, S00, 1
S00, Trade, 18.762, 95, B09, S00, 1
S00, Trade, 41.762, 105, B09, S00, 1
S00, Trade, 44.333, 136, S00, B10, 1
S00, Trade, 45.238, 143, B10, S00, 1
S00, Trade, 51.571, 92, B09, S00, 1
S00, Trade, 60.286, 50, S00, B02, 1
S00, Trade, 66.810, 112, B09, S00, 1
S00, Trade, 70.238, 93, B05, S00, 1
S00, Trade, 96.571, 64, B06, S00, 1
S00, Trade, 98.095, 66, B10, S00, 1
S01, 2
S01, Trade, 9.619, 115, S01, B10, 1
S01, Trade, 61.286, 106, S01, B10, 1
S02, 3
S02, Trade, 27.095, 114, S02, B10, 1
S02, Trade, 36.857, 121, B09, S02, 1
S02, Trade, 87.286, 122, B10, S02, 1
S03, 4
S03, Trade, 57.714, 97, S03, B10, 1
S03, Trade, 65.095, 100, B05, S03, 1
S03, Trade, 82.571, 93, S03, B09, 1
S03, Trade, 93.571, 98, B09, S03, 1
S04, 2
S04, Trade, 49.238, 98, S04, B07, 1
S04, Trade, 49.524, 95, B05, S04, 1
S05, 1
S05, Trade, 88.714, 133, S05, B10, 1
S06, 1
S06, Trade, 6.048, 125, S06, B09, 1
S07, 0
S08, 0
S09, 0
