B00, 0
B01, 0
B02, 0
B03, 0
B04, 9
B04, Trade, 9.619, 105, B04, B10, 1
B04, Trade, 25.190, 140, B04, B10, 1
B04, Trade, 28.571, 126, B04, B08, 1
B04, Trade, 48.238, 127, B04, B10, 1
B04, Trade, 53.810, 129, B04, B10, 1
B04, Trade, 61.048, 122, B04, B10, 1
B04, Trade, 63.000, 128, B04, B10, 1
B04, Trade, 79.810, 129, B04, B10, 1
B04, Trade, 91.524, 132, B04, B10, 1
B05, 0
B06, 4
B06, Trade, 2.619, 74, B06, S01, 1
B06, Trade, 10.143, 100, B06, S00, 1
B06, Trade, 18.952, 100, B06, S03, 1
B06, Trade, 74.048, 95, B06, S00, 1
B07, 4
B07, Trade, 23.952, 95, B07, S00, 1
B07, Trade, 25.571, 98, B07, S01, 1
B07, Trade, 80.333, 106, B07, S00, 1
B07, Trade, 95.810, 90, S01, B07, 1
B08, 5
B08, Trade, 28.571, 126, B04, B08, 1
B08, Trade, 51.810, 86, S03, B08, 1
B08, Trade, 61.524, 114, B08, S01, 1
B08, Trade, 92.048, 116, S01, B08, 1
B08, Trade, 94.762, 91, S02, B08, 1
B09, 11
B09, Trade, 21.524, 122, B09, S01, 1
B09, Trade, 24.762, 113, S02, B09, 1
B09, Trade, 30.619, 115, S05, B09, 1
B09, Trade, 37.667, 118, S04, B09, 1
B09, Trade, 39.524, 100, S01, B09, 1
B09, Trade, 55.952, 99, B09, S00, 1
B09, Trade, 58.333, 126, B09, S01, 1
B09, Trade, 63.429, 129, B09, S05, 1
B09, Trade, 64.857, 126, B09, S03, 1
B09, Trade, 81.571, 70, S01, B09, 1
B09, Trade, 99.333, 133, S02, B09, 1
B10, 16
B10, Trade, 7.905, 127, S06, B10, 1
B10, Trade, 9.619, 105, B04, B10, 1
B10, Trade, 20.381, 123, S02, B10, 1
B10, Trade, 25.190, 140, B04, B10, 1
B10, Trade, 25.952, 124, S06, B10, 1
B10, Trade, 36.524, 82, B10, S00, 1
B10, Trade, 45.714, 92, S02, B10, 1
B10, Trade, 48.238, 127, B04, B10, 1
B10, Trade, 53.810, 129, B04, B10, 1
B10, Trade, 54.238, 90, S01, B10, 1
B10, Trade, 61.048, 122, B04, B10, 1
B10, Trade, 63.000, 128, B04, B10, 1
B10, Trade, 65.762, 125, S05, B10, 1
B10, Trade, 79.810, 129, B04, B10, 1
B10, Trade, 87.952, 65, B10, S01, 1
B10, Trade, 91.524, 132, B04, B10, 1
S00, 6
S00, Trade, 10.143, 100, B06, S00, 1
S00, Trade, 23.952, 95, B07, S00, 1
S00, Trade, 36.524, 82, B10, S00, 1
S00, Trade, 55.952, 99, B09, S00, 1
S00, Trade, 74.048, 95, B06, S00, 1
S00, Trade, 80.333, 106, B07, S00, 1
S01, 11
S01, Trade, 2.619, 74, B06, S01, 1
S01, Trade, 21.524, 122, B09, S01, 1
S01, Trade, 25.571, 98, B07, S01, 1
S01, Trade, 39.524, 100, S01, B09, 1
S01, Trade, 54.238, 90, S01, B10, 1
S01, Trade, 58.333, 126, B09, S01, 1
S01, Trade, 61.524, 114, B08, S01, 1
S01, Trade, 81.571, 70, S01, B09, 1
S01, Trade, 87.952, 65, B10, S01, 1
S01, Trade, 92.048, 116, S01, B08, 1
S01, Trade, 95.810, 90, S01, B07, 1
S02, 5
S02, Trade, 20.381, 123, S02, B10, 1
S02, Trade, 24.762, 113, S02, B09, 1
S02, Trade, 45.714, 92, S02, B10, 1
S02, Trade, 94.762, 91, S02, B08, 1
S02, Trade, 99.333, 133, S02, B09, 1
S03, 3
S03, Trade, 18.952, 100, B06, S03, 1
S03, Trade, 51.810, 86, S03, B08, 1
S03, Trade, 64.857, 126, B09, S03, 1
S04, 1
S04, Trade, 37.667, 118, S04, B09, 1
S05, 3
S05, Trade, 30.619, 115, S05, B09, 1
S05, Trade, 63.429, 129, B09, S05, 1
S05, Trade, 65.762, 125, S05, B10, 1
S06, 2
S06, Trade, 7.905, 127, S06, B10, 1
S06, Trade, 25.952, 124, S06, B10, 1
S07, 0
S08, 0
S09, 0
