B00, 0
B01, 9
B01, Trade, 4.286, 103, B01, B06, 1
B01, Trade, 16.571, 101, B01, B07, 1
B01, Trade, 25.714, 121, B01, B10, 1
B01, Trade, 28.048, 118, B01, B10, 1
B01, Trade, 43.000, 129, B01, B09, 1
B01, Trade, 58.190, 131, B01, B10, 1
B01, Trade, 67.714, 131, B01, B10, 1
B01, Trade, 82.286, 134, B01, B10, 1
B01, Trade, 91.810, 129, B01, B09, 1
B02, 2
B02, Trade, 13.952, 65, S00, B02, 1
B02, Trade, 64.762, 61, S01, B02, 1
B03, 0
B04, 1
B04, Trade, 91.333, 90, B04, S00, 1
B05, 2
B05, Trade, 69.000, 94, B05, S00, 1
B05, Trade, 85.000, 94, B05, S02, 1
B06, 4
B06, Trade, 4.286, 103, B01, B06, 1
B06, Trade, 11.143, 85, B06, S00, 1
B06, Trade, 15.238, 88, B06, S00, 1
B06, Trade, 79.952, 81, B06, S02, 1
B07, 8
B07, Trade, 16.571, 101, B01, B07, 1
B07, Trade, 33.524, 113, B07, S00, 1
B07, Trade, 49.333, 117, B07, S03, 1
B07, Trade, 53.286, 84, B07, S00, 1
B07, Trade, 59.952, 110, B07, S02, 1
B07, Trade, 73.905, 114, B07, S03, 1
B07, Trade, 83.667, 90, S01, B07, 1
B07, Trade, 95.524, 111, B07, S00, 1
B08, 6
B08, Trade, 23.905, 100, S00, B08, 1
B08, Trade, 49.476, 114, S05, B08, 1
B08, Trade, 63.190, 122, B08, S01, 1
B08, Trade, 80.190, 126, S03, B08, 1
B08, Trade, 84.857, 87, S00, B08, 1
B08, Trade, 94.810, 87, B08, S00, 1
B09, 7
B09, Trade, 2.143, 133, B09, S01, 1
B09, Trade, 12.714, 124, B09, S01, 1
B09, Trade, 29.381, 112, B09, S00, 1
B09, Trade, 43.000, 129, B01, B09, 1
B09, Trade, 56.238, 93, S01, B09, 1
B09, Trade, 70.381, 133, B09, S05, 1
B09, Trade, 91.810, 129, B01, B09, 1
B10, 15
B10, Trade, 7.143, 129, B10, S00, 1
B10, Trade, 12.381, 107, S05, B10, 1
B10, Trade, 18.000, 123, B10, S00, 1
B10, Trade, 22.429, 95, S04, B10, 1
B10, Trade, 25.714, 121, B01, B10, 1
B10, Trade, 28.048, 118, B01, B10, 1
B10, Trade, 31.286, 132, B10, S06, 1
B10, Trade, 35.952, 113, B10, S01, 1
B10, Trade, 51.667, 62, S00, B10, 1
B10, Trade, 52.857, 129, S03, B10, 1
B10, Trade, 58.190, 131, B01, B10, 1
B10, Trade, 59.095, 137, B10, S07, 1
B10, Trade, 67.714, 131, B01, B10, 1
B10, Trade, 82.286, 134, B01, B10, 1
B10, Trade, 98.524, 124, S00, B10, 1
S00, 16
S00, Trade, 7.143, 129, B10, S00, 1
S00, Trade, 11.143, 85, B06, S00, 1
S00, Trade, 13.952, 65, S00, B02, 1
S00, Trade, 15.238, 88, B06, S00, 1
S00, Trade, 18.000, 123, B10, S00, 1
S00, Trade, 23.905, 100, S00, B08, 1
S00, Trade, 29.381, 112, B09, S00, 1
S00, Trade, 33.524, 113, B07, S00, 1
S00, Trade, 51.667, 62, S00, B10, 1
S00, Trade, 53.286, 84, B07, S00, 1
S00, Trade, 69.000, 94, B05, S00, 1
S00, Trade, 84.857, 87, S00, B08, 1
S00, Trade, 91.333, 90, B04, S00, 1
S00, Trade, 94.810, 87, B08, S00, 1
S00, Trade, 95.524, 111, B07, S00, 1
S00, Trade, 98.524, 124, S00, B10, 1
S01, 7
S01, Trade, 2.143, 133, B09, S01, 1
S01, Trade, 12.714, 124, B09, S01, 1
S01, Trade, 35.952, 113, B10, S01, 1
S01, Trade, 56.238, 93, S01, B09, 1
S01, Trade, 63.190, 122, B08, S01, 1
S01, Trade, 64.762, 61, S01, B02, 1
S01, Trade, 83.667, 90, S01, B07, 1
S02, 3
S02, Trade, 59.952, 110, B07, S02, 1
S02, Trade, 79.952, 81, B06, S02, 1
S02, Trade, 85.000, 94, B05, S02, 1
S03, 4
S03, Trade, 49.333, 117, B07, S03, 1
S03, Trade, 52.857, 129, S03, B10, 1
S03, Trade, 73.905, 114, B07, S03, 1
S03, Trade, 80.190, 126, S03, B08, 1
S04, 1
S04, Trade, 22.429, 95, S04, B10, 1
S05, 3
S05, Trade, 12.381, 107, S05, B10, 1
S05, Trade, 49.476, 114, S05, B08, 1
S05, Trade, 70.381, 133, B09, S05, 1
S06, 1
S06, Trade, 31.286, 132, B10, S06, 1
S07, 1
S07, Trade, 59.095, 137, B10, S07, 1
S08, 0
S09, 0
