time,price
0,130
1,143
2,161
3,166
4,80
5,157
6,86
7,160
8,100
9,99
10,102
11,148
12,160
13,119
14,80
15,129
16,93
17,134
18,107
19,134
20,105
21,89
22,110
23,125
24,89
25,151
26,149
27,117
28,84
29,92
30,92
31,143
32,90
33,157
34,136
35,140
36,159
37,107
38,104
39,146
40,143
41,125
42,94
43,86
44,165
45,102
46,126
47,168
48,112
49,135
50,102
51,121
52,116
53,157
54,107
55,100
56,128
57,103
58,123
59,104
60,147
61,107
62,104
63,86
64,170
65,117
66,119
67,167
68,90
69,87
70,167
71,156
72,80
73,100
74,106
75,85
76,168
77,137
78,87
79,159
80,101
81,122
82,143
83,102
84,90
85,159
86,119
87,156
88,166
89,80
90,120
91,160
92,167
93,111
94,102
95,158
96,119
97,80
98,80
99,99
100,107
101,140
102,97
103,170
104,144
105,90
106,100
107,136
108,162
109,147
110,157
111,92
112,140
113,139
114,88
115,170
116,124
117,142
118,122
119,115
